time,status,face_found,lm106,calib,ear,left,right,ear_base,ear_th,mar,mar_base,mar_th,head,head_base,eye,yawn,head_down,feature_ms
1787468702.994,NORMAL,1,1,1,0.3950,0.3050,0.5450,0.4040,0.2630,0.4270,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468703.273,NORMAL,1,1,1,0.3980,0.4720,0.3280,0.4040,0.2630,0.4270,0.4680,0.8420,0.0000,0.4790,0,0,0,0.029
1787468703.546,NORMAL,1,1,1,0.3940,0.2830,0.5000,0.4040,0.2630,0.4280,0.4680,0.8420,0.0000,0.4790,0,0,0,0.028
1787468703.824,NORMAL,1,1,1,0.3430,0.3150,0.3170,0.4040,0.2630,0.4170,0.4680,0.8420,0.0000,0.4790,0,0,0,0.030
1787468704.103,NORMAL,1,1,1,0.5430,1.0000,0.3010,0.4040,0.2630,0.4430,0.4680,0.8420,0.0000,0.4790,0,0,0,0.020
1787468704.389,NORMAL,1,1,1,0.2900,0.0000,0.3060,0.4040,0.2630,1.0040,0.4680,0.8420,0.0000,0.4790,0,0,0,0.024
1787468704.670,NORMAL,1,1,1,0.3520,0.4660,0.3040,0.4040,0.2630,0.6670,0.4680,0.8420,0.0000,0.4790,0,0,0,0.030
1787468704.947,NORMAL,1,1,1,0.2140,0.0000,0.2790,0.4040,0.2630,1.1000,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468705.228,NORMAL,1,1,1,0.1780,0.0000,0.3160,0.4040,0.2630,1.1800,0.4680,0.8420,0.0000,0.4790,0,0,0,0.020
1787468705.520,YAWN,1,1,1,0.2800,0.3750,0.2940,0.4040,0.2630,0.8430,0.4680,0.8420,0.0000,0.4790,0,1,0,0.022
1787468705.996,YAWN,1,1,1,0.2960,0.3230,0.2870,0.4040,0.2630,0.6520,0.4680,0.8420,0.0000,0.4790,0,1,0,0.024
1787468706.282,NORMAL,1,1,1,0.3110,0.3410,0.2800,0.4040,0.2630,0.5700,0.4680,0.8420,0.0000,0.4790,0,0,0,0.023
1787468706.735,NORMAL,1,1,1,0.3190,0.3680,0.2800,0.4040,0.2630,0.5600,0.4680,0.8420,0.0000,0.4790,0,0,0,0.027
1787468707.018,NORMAL,1,1,1,0.3190,0.3680,0.2800,0.4040,0.2630,0.5600,0.4680,0.8420,0.0000,0.4790,0,0,0,0.027
1787468707.294,NORMAL,1,1,1,0.3240,0.3560,0.2970,0.4040,0.2630,0.5410,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468707.574,NORMAL,1,1,1,0.3040,0.2870,0.3000,0.4040,0.2630,0.4310,0.4680,0.8420,0.0000,0.4790,0,0,0,0.025
1787468707.847,NORMAL,1,1,1,0.2830,0.2590,0.2860,0.4040,0.2630,0.4210,0.4680,0.8420,0.0000,0.4790,0,0,0,0.039
1787468708.121,NORMAL,1,1,1,0.2830,0.2860,0.2800,0.4040,0.2630,0.4120,0.4680,0.8420,0.0000,0.4790,0,0,0,0.027
1787468708.417,NORMAL,1,1,1,0.3930,0.5960,0.3070,0.4040,0.2630,0.3920,0.4680,0.8420,0.0000,0.4790,0,0,0,0.029
1787468708.717,NORMAL,1,1,1,0.3430,0.3600,0.2730,0.4040,0.2630,0.3780,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468709.001,NORMAL,1,1,1,0.3550,0.4380,0.2860,0.4040,0.2630,0.3740,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468709.283,NORMAL,1,1,1,0.3120,0.2750,0.3030,0.4040,0.2630,0.3670,0.4680,0.8420,0.0000,0.4790,0,0,0,0.029
1787468709.553,NORMAL,1,1,1,0.2930,0.2640,0.3010,0.4040,0.2630,0.3890,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468709.836,NORMAL,1,1,1,0.2800,0.2640,0.2820,0.4040,0.2630,0.3890,0.4680,0.8420,0.0000,0.4790,0,0,0,0.026
1787468710.120,NORMAL,1,1,1,0.3180,0.4000,0.2780,0.4040,0.2630,0.3760,0.4680,0.8420,0.0000,0.4790,0,0,0,0.019
1787468710.393,NORMAL,1,1,1,0.2830,0.2580,0.2690,0.4040,0.2630,0.3900,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468710.679,NORMAL,1,1,1,0.2780,0.2640,0.2860,0.4040,0.2630,0.3970,0.4680,0.8420,0.0000,0.4790,0,0,0,0.018
1787468710.961,NORMAL,1,1,1,0.3250,0.4100,0.2900,0.4040,0.2630,0.3740,0.4680,0.8420,0.0000,0.4790,0,0,0,0.027
1787468711.233,NORMAL,1,1,1,0.3020,0.2930,0.2880,0.4040,0.2630,0.3710,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468711.511,NORMAL,1,1,1,0.5170,1.0000,0.2660,0.4040,0.2630,0.3970,0.4680,0.8420,0.1140,0.4790,0,0,0,0.020
1787468711.784,NORMAL,1,1,1,0.3600,0.2690,0.2820,0.4040,0.2630,0.4080,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468712.056,NORMAL,1,1,1,0.3260,0.3370,0.2780,0.4040,0.2630,0.3910,0.4680,0.8420,0.0000,0.4790,0,0,0,0.023
1787468712.338,NORMAL,1,1,1,0.3260,0.3370,0.2780,0.4040,0.2630,0.3910,0.4680,0.8420,0.0000,0.4790,0,0,0,0.023
1787468712.614,NORMAL,1,1,1,0.2830,0.2580,0.2620,0.4040,0.2630,0.3740,0.4680,0.8420,0.0000,0.4790,0,0,0,0.020
1787468712.881,NORMAL,1,1,1,0.3250,0.4130,0.2780,0.4040,0.2630,0.3720,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468713.160,NORMAL,1,1,1,0.3000,0.2850,0.2880,0.4040,0.2630,0.4050,0.4680,0.8420,0.0000,0.4790,0,0,0,0.020
1787468713.442,NORMAL,1,1,1,0.3480,0.4770,0.2690,0.4040,0.2630,0.4010,0.4680,0.8420,0.0000,0.4790,0,0,0,0.018
1787468713.712,NORMAL,1,1,1,0.3480,0.4770,0.2690,0.4040,0.2630,0.4010,0.4680,0.8420,0.0000,0.4790,0,0,0,0.018
1787468713.985,NORMAL,1,1,1,0.3420,0.4000,0.2780,0.4040,0.2630,0.4220,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468714.253,NORMAL,1,1,1,0.2130,0.0000,0.2860,0.4040,0.2630,0.4730,0.4680,0.8420,0.0000,0.4790,0,0,0,0.026
1787468714.532,NORMAL,1,1,1,0.1710,0.0000,0.2980,0.4040,0.2630,0.9340,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468714.808,NORMAL,1,1,1,0.1490,0.0000,0.2730,0.4040,0.2630,1.2660,0.4680,0.8420,0.0000,0.4790,0,0,0,0.028
1787468715.082,NORMAL,1,1,1,0.1490,0.0000,0.2980,0.4040,0.2630,1.2350,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468715.364,NORMAL,1,1,1,0.1570,0.0000,0.3220,0.4040,0.2630,0.7930,0.4680,0.8420,0.0000,0.4790,0,0,0,0.023
1787468715.635,YAWN,1,1,1,0.3990,0.7730,0.2870,0.4040,0.2630,0.6350,0.4680,0.8420,0.0000,0.4790,0,1,0,0.025
1787468716.095,NORMAL,1,1,1,0.2480,0.0000,0.2830,0.4040,0.2630,1.1390,0.4680,0.8420,0.0000,0.4790,0,0,0,0.028
1787468716.565,NORMAL,1,1,1,0.3840,0.6330,0.2810,0.4040,0.2630,0.8100,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468716.838,NORMAL,1,1,1,0.3840,0.6330,0.2810,0.4040,0.2630,0.8100,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468717.111,NORMAL,1,1,1,0.2280,0.0000,0.2890,0.4040,0.2630,1.1010,0.4680,0.8420,0.0000,0.4790,0,0,0,0.024
1787468717.387,YAWN,1,1,1,0.3460,0.5260,0.2920,0.4040,0.2630,0.7750,0.4680,0.8420,0.0000,0.4790,0,1,0,0.021
1787468717.854,YAWN,1,1,1,0.3750,0.5000,0.2810,0.4040,0.2630,0.6510,0.4680,0.8420,0.0000,0.4790,0,1,0,0.022
1787468718.130,YAWN,1,1,1,0.2250,0.0000,0.2870,0.4040,0.2630,1.0950,0.4680,0.8420,0.0000,0.4790,0,1,0,0.020
1787468718.404,NORMAL,1,1,1,0.3030,0.4140,0.2380,0.4040,0.2630,0.4490,0.4680,0.8420,0.0460,0.4790,0,0,0,0.021
1787468718.848,NORMAL,1,1,1,0.5170,1.0000,0.2660,0.4040,0.2630,0.3790,0.4680,0.8420,0.0440,0.4790,0,0,0,0.063
1787468719.127,NORMAL,1,1,1,0.5170,1.0000,0.2660,0.4040,0.2630,0.3790,0.4680,0.8420,0.0440,0.4790,0,0,0,0.063
1787468719.405,NORMAL,1,1,1,0.4360,0.4680,0.3150,0.4040,0.2630,0.3570,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468719.687,NORMAL,1,1,1,0.3800,0.4050,0.2950,0.4040,0.2630,0.3580,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468719.959,NORMAL,1,1,1,0.3500,0.3440,0.3230,0.4040,0.2630,0.3700,0.4680,0.8420,0.0000,0.4790,0,0,0,0.024
1787468720.235,NORMAL,1,1,1,0.3140,0.3210,0.2700,0.4040,0.2630,0.3660,0.4680,0.8420,0.0600,0.4790,0,0,0,0.022
1787468720.512,NORMAL,1,1,1,0.3140,0.3210,0.2700,0.4040,0.2630,0.3660,0.4680,0.8420,0.0600,0.4790,0,0,0,0.022
1787468720.791,NORMAL,1,1,1,0.3590,0.4860,0.2940,0.4040,0.2630,0.3580,0.4680,0.8420,0.0000,0.4790,0,0,0,0.020
1787468721.059,NORMAL,1,1,1,0.3220,0.3160,0.2880,0.4040,0.2630,0.3770,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468721.351,NO_FACE,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.002
1787468721.819,NORMAL,1,1,1,0.2990,0.3020,0.2720,0.4040,0.2630,0.4010,0.4680,0.8420,0.1150,0.4790,0,0,0,0.019
1787468722.285,NORMAL,1,1,1,0.3160,0.3670,0.2840,0.4040,0.2630,0.3870,0.4680,0.8420,0.0000,0.4790,0,0,0,0.026
1787468722.562,NORMAL,1,1,1,0.2880,0.2720,0.2750,0.4040,0.2630,0.4090,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468722.844,NORMAL,1,1,1,0.2970,0.3070,0.2970,0.4040,0.2630,0.4040,0.4680,0.8420,0.0000,0.4790,0,0,0,0.020
1787468723.129,NORMAL,1,1,1,0.2970,0.3070,0.2970,0.4040,0.2630,0.4040,0.4680,0.8420,0.0000,0.4790,0,0,0,0.020
1787468723.409,NORMAL,1,1,1,0.2980,0.2860,0.3100,0.4040,0.2630,0.3720,0.4680,0.8420,0.0000,0.4790,0,0,0,0.023
1787468723.677,NORMAL,1,1,1,0.2850,0.2790,0.2870,0.4040,0.2630,0.3940,0.4680,0.8420,0.0000,0.4790,0,0,0,0.028
1787468723.969,NORMAL,1,1,1,0.3050,0.3450,0.2870,0.4040,0.2630,0.3890,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468724.252,NORMAL,1,1,1,0.3050,0.3450,0.2870,0.4040,0.2630,0.3890,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468724.528,NORMAL,1,1,1,0.3060,0.3100,0.3040,0.4040,0.2630,0.3950,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468724.801,NORMAL,1,1,1,0.2990,0.2980,0.2920,0.4040,0.2630,0.3970,0.4680,0.8420,0.0000,0.4790,0,0,0,0.024
1787468725.085,NORMAL,1,1,1,0.3200,0.3440,0.3170,0.4040,0.2630,0.3780,0.4680,0.8420,0.0000,0.4790,0,0,0,0.018
1787468725.360,NORMAL,1,1,1,0.3840,0.5560,0.2960,0.4040,0.2630,0.3770,0.4680,0.8420,0.0000,0.4790,0,0,0,0.027
1787468725.631,NORMAL,1,1,1,0.3840,0.5560,0.2960,0.4040,0.2630,0.3770,0.4680,0.8420,0.0000,0.4790,0,0,0,0.027
1787468725.910,NORMAL,1,1,1,0.3230,0.2900,0.2880,0.4040,0.2630,0.3700,0.4680,0.8420,0.0000,0.4790,0,0,0,2.126
1787468726.181,NORMAL,1,1,1,0.3200,0.3200,0.3170,0.4040,0.2630,0.3820,0.4680,0.8420,0.0000,0.4790,0,0,0,0.029
1787468726.453,NORMAL,1,1,1,0.3030,0.2900,0.2980,0.4040,0.2630,0.3720,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468726.728,NORMAL,1,1,1,0.4000,0.6250,0.2790,0.4040,0.2630,0.3560,0.4680,0.8420,0.0000,0.4790,0,0,0,0.018
1787468726.997,NORMAL,1,1,1,0.4460,0.6760,0.2640,0.4040,0.2630,0.3310,0.4680,0.8420,0.0220,0.4790,0,0,0,0.020
1787468727.292,NORMAL,1,1,1,0.4300,0.5680,0.2740,0.4040,0.2630,0.3390,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468727.575,NORMAL,1,1,1,0.4530,0.6580,0.2740,0.4040,0.2630,0.3370,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468727.847,NORMAL,1,1,1,0.3280,0.2550,0.2650,0.4040,0.2630,0.3330,0.4680,0.8420,0.0390,0.4790,0,0,0,0.028
1787468728.131,NORMAL,1,1,1,0.3600,0.5000,0.2550,0.4040,0.2630,0.3270,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468728.422,NORMAL,1,1,1,0.3010,0.2700,0.2690,0.4040,0.2630,0.3450,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468728.700,NORMAL,1,1,1,0.3850,0.5870,0.2740,0.4040,0.2630,0.3310,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468728.980,NORMAL,1,1,1,0.4270,0.6250,0.2740,0.4040,0.2630,0.3300,0.4680,0.8420,0.0000,0.4790,0,0,0,0.023
1787468729.266,NORMAL,1,1,1,0.4630,0.6900,0.2740,0.4040,0.2630,0.3300,0.4680,0.8420,0.0000,0.4790,0,0,0,0.025
1787468729.537,NORMAL,1,1,1,0.4630,0.6900,0.2740,0.4040,0.2630,0.3300,0.4680,0.8420,0.0000,0.4790,0,0,0,0.025
1787468729.822,NORMAL,1,1,1,0.3410,0.2750,0.2550,0.4040,0.2630,0.3510,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468730.114,NORMAL,1,1,1,0.2880,0.2650,0.2550,0.4040,0.2630,0.3590,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468730.392,NORMAL,1,1,1,0.2710,0.2700,0.2550,0.4040,0.2630,0.3560,0.4680,0.8420,0.0000,0.4790,0,0,0,0.023
